,command,state,startup,DMG,GC,direction,height
0,"AAA,6BB",NH,10,64,0,"x, x, x ,y, y","h,h,m,m, m"
0,"AAA,6BB",CH,10,64,0,"x, x, x ,y, y","h,h,m,m, m"
0,"AAA,A+B+K",NH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,A+B+K",CH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcA",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcAK",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcAK",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcA6K",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcA6K",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcA4K",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcA4K",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,fcB",NH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcB",CH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fc1B",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fc1B",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fc1B",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fc1B",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+BK",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+BK",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+BK",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+BK",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B6K",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B6K",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B6K",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B6K",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B4K",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B4K",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B4K",NH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,fcA+B4K",CH,8,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,wsB",NH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,wsB",CH,10,64,0,"x, x, x ,y","h,h,m,m"
0,"AAA,wsBB",NH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,wsBB",CH,10,64,0,"x, x, x ,y, y","h,h,m,m,m"
0,"AAA,BT A",NH,10,64,0,"x, x, x ,x","h,h,m,h"
0,"AAA,BT A",CH,10,64,0,"x, x, x ,x","h,h,m,h"
0,"AAA,BT 2A",NH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AAA,BT 2A",CH,10,64,0,"x, x, x ,x","h,h,m,sl"
0,"AB,A",NH,4,34,0,"x, y,x","h,m,h"
0,"AB,A",CH,4,34,0,"x, y,x","h,m,h"
0,"AB,A",NH,4,34,0,"x, y,x","h,m,h"
0,"AB,A",CH,4,34,0,"x, y,x","h,m,h"
0,"AB,AA",NH,4,34,0,"x, y,x, x","h,m,h,h"
0,"AB,AA",CH,4,34,0,"x, y,x, x","h,m,h,h"
0,"AB,AA",NH,4,34,0,"x, y,x, x","h,m,h,h"
0,"AB,AA",CH,4,34,0,"x, y,x, x","h,m,h,h"
0,"AB,AAA",NH,4,34,0,"x, y,x, x, x ","h,m,h,h,m"
0,"AB,AAA",CH,4,34,0,"x, y,x, x, x ","h,m,h,h,m"
0,"AB,AAA",NH,4,34,0,"x, y,x, x, x ","h,m,h,h,m"
0,"AB,AAA",CH,4,34,0,"x, y,x, x, x ","h,m,h,h,m"
0,"AB,AB",NH,4,34,0,"x, y,x, y","h,m,h,m"
0,"AB,AB",CH,4,34,0,"x, y,x, y","h,m,h,m"
0,"AB,AB",NH,4,34,0,"x, y,x, y","h,m,h,m"
0,"AB,AB",CH,4,34,0,"x, y,x, y","h,m,h,m"
0,"AB,6A",NH,4,34,0,"x, y,x","h,m,h"
0,"AB,6A",CH,4,34,0,"x, y,x","h,m,h"
0,"AB,6A",NH,4,34,0,"x, y,x","h,m,h"
0,"AB,6A",CH,4,34,0,"x, y,x","h,m,h"
0,"AB,6AA",NH,4,34,0,"x, y,x, x","h,m,h, h"
0,"AB,6AA",CH,4,34,0,"x, y,x, x","h,m,h, h"
0,"AB,6AA",NH,4,34,0,"x, y,x, x","h,m,h, h"
0,"AB,6AA",CH,4,34,0,"x, y,x, x","h,m,h, h"
0,"AB,3A",NH,6,34,0,"x, y,x","h,m,m"
0,"AB,3A",CH,6,34,0,"x, y,x","h,m,m"
0,"AB,3A",NH,6,34,0,"x, y,x","h,m,m"
0,"AB,3A",CH,6,34,0,"x, y,x","h,m,m"
0,"AB,2A",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2AK",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2AK",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2AK",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2AK",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A6K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A6K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A6K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A6K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A4K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A4K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A4K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,2A4K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,B",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,B",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,B",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,B",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,BA",NH,8,34,0,"x, y,y, x","h,m,m,h"
0,"AB,BA",CH,8,34,0,"x, y,y, x","h,m,m,h"
0,"AB,BA",NH,8,34,0,"x, y,y, x","h,m,m,h"
0,"AB,BA",CH,8,34,0,"x, y,y, x","h,m,m,h"
0,"AB,BB",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BBB",NH,8,34,0,"x, y,y, y, y","h,m,m,m,m"
0,"AB,BBB",CH,8,34,0,"x, y,y, y, y","h,m,m,m,m"
0,"AB,BBB",NH,8,34,0,"x, y,y, y, y","h,m,m,m,m"
0,"AB,BBB",CH,8,34,0,"x, y,y, y, y","h,m,m,m,m"
0,"AB,BBK",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BBK",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BBK",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BBK",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB6K",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB6K",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB6K",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB6K",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB4K",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB4K",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB4K",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,BB4K",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,b4",NH,10,34,0,"x, y,y","h,m,m"
0,"AB,b4",CH,10,34,0,"x, y,y","h,m,m"
0,"AB,3B",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,3B",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,3B",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,3B",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,3BB",NH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BB",CH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BB",NH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BB",CH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BBH",NH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BBH",CH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BBH",NH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,3BBH",CH,6,34,0,"x, y,y, y","h,m,m, m"
0,"AB,2B",NH,10,34,0,"x, y,y","h,m,m"
0,"AB,2B",CH,10,34,0,"x, y,y","h,m,m"
0,"AB,2BB",NH,10,34,0,"x, y,y, y","h,m,m,m"
0,"AB,2BB",CH,10,34,0,"x, y,y, y","h,m,m,m"
0,"AB,2BBK",NH,10,34,0,"x, y,y, y","h,m,m, m"
0,"AB,2BBK",CH,10,34,0,"x, y,y, y","h,m,m, m"
0,"AB,2BB6K",NH,10,34,0,"x, y,y, y","h,m,m, m"
0,"AB,2BB6K",CH,10,34,0,"x, y,y, y","h,m,m, m"
0,"AB,2BB4K",NH,10,34,0,"x, y,y, y","h,m,m, m"
0,"AB,2BB4K",CH,10,34,0,"x, y,y, y","h,m,m, m"
0,"AB,A+B+K",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,A+B+K",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,A+B+K",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,A+B+K",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,fcA",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcAK",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcAK",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcAK",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcAK",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA6K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA6K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA6K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA6K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA4K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA4K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA4K",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fcA4K",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,fc3A",NH,4,34,0,"x, y,x","h,m,h,h"
0,"AB,fc3A",CH,4,34,0,"x, y,x","h,m,h,h"
0,"AB,fc3A",NH,4,34,0,"x, y,x","h,m,h,h"
0,"AB,fc3A",CH,4,34,0,"x, y,x","h,m,h,h"
0,"AB,fc1A",NH,10,34,0,"x, y,x","h,m,l"
0,"AB,fc1A",CH,10,34,0,"x, y,x","h,m,l"
0,"AB,fcB",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,fcB",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,fcB",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,fcB",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,fc3B",NH,2,34,0,"x, y,y","h,m,m"
0,"AB,fc3B",CH,2,34,0,"x, y,y","h,m,m"
0,"AB,fc3B",NH,2,34,0,"x, y,y","h,m,m"
0,"AB,fc3B",CH,2,34,0,"x, y,y","h,m,m"
0,"AB,fc3BB",NH,2,34,0,"x, y,y","h,m,m,m"
0,"AB,fc3BB",CH,2,34,0,"x, y,y","h,m,m,m"
0,"AB,fc3BB",NH,2,34,0,"x, y,y","h,m,m,m"
0,"AB,fc3BB",CH,2,34,0,"x, y,y","h,m,m,m"
0,"AB,fc1B",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fc1B",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fc1B",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fc1B",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+BK",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+BK",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+BK",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+BK",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B6K",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B6K",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B6K",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B6K",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B4K",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B4K",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B4K",NH,6,34,0,"x, y,y","h,m,m"
0,"AB,fcA+B4K",CH,6,34,0,"x, y,y","h,m,m"
0,"AB,wsB",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,wsB",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,wsB",NH,8,34,0,"x, y,y","h,m,m"
0,"AB,wsB",CH,8,34,0,"x, y,y","h,m,m"
0,"AB,wsBB",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,wsBB",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,wsBB",NH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,wsBB",CH,8,34,0,"x, y,y, y","h,m,m,m"
0,"AB,66A",NH,6,34,0,"x, y,x","h,m,h"
0,"AB,66A",CH,6,34,0,"x, y,x","h,m,h"
0,"AB,66A",NH,6,34,0,"x, y,x","h,m,h"
0,"AB,66A",CH,6,34,0,"x, y,x","h,m,h"
0,"AB,66B",NH,10,34,0,"x, y,y","h,m,m"
0,"AB,66B",CH,10,34,0,"x, y,y","h,m,m"
0,"AB,BT A",NH,8,34,0,"x, y,x","h,m,h"
0,"AB,BT A",CH,8,34,0,"x, y,x","h,m,h"
0,"AB,BT A",NH,8,34,0,"x, y,x","h,m,h"
0,"AB,BT A",CH,8,34,0,"x, y,x","h,m,h"
0,"AB,BT 2A",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,BT 2A",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,BT 2A",NH,8,34,0,"x, y,x","h,m,sl"
0,"AB,BT 2A",CH,8,34,0,"x, y,x","h,m,sl"
0,"AB,BT B",NH,10,34,0,"x, y,y","h,m,m"
0,"AB,BT B",CH,10,34,0,"x, y,y","h,m,m"
0,"AB,BT 2B",NH,10,34,0,"x, y,y","h,m,m"
0,"AB,BT 2B",CH,10,34,0,"x, y,y","h,m,m"
0,"6A,A",CH,8,16,0,"x,x","h,h"
0,"6A,A",CH,8,16,0,"x,x","h,h"
0,"6A,AA",CH,8,16,0,"x,x, x","h,h,h"
0,"6A,AA",CH,8,16,0,"x,x, x","h,h,h"
0,"6A,AAA",CH,8,16,0,"x,x, x, x ","h,h,h,m"
0,"6A,AAA",CH,8,16,0,"x,x, x, x ","h,h,h,m"
0,"6A,AB",CH,8,16,0,"x,x, y","h,h,m"
0,"6A,AB",CH,8,16,0,"x,x, y","h,h,m"
0,"6A,6A",CH,8,16,0,"x,x","h,h"
0,"6A,6A",CH,8,16,0,"x,x","h,h"
0,"6A,6AA",CH,8,16,0,"x,x, x","h,h, h"
0,"6A,6AA",CH,8,16,0,"x,x, x","h,h, h"
0,"6A,3A",CH,10,16,0,"x,x","h,m"
0,"6A,6B",NH,8,16,0,"x,y","h,m"
0,"6A,6B",CH,4,16,0,"x,y","h,m"
0,"6A,6B",NH,8,16,0,"x,y","h,m"
0,"6A,6B",CH,4,16,0,"x,y","h,m"
0,"6A,6BA",NH,8,16,0,"x,y, x","h,m, h"
0,"6A,6BA",CH,4,16,0,"x,y, x","h,m, h"
0,"6A,6BA",NH,8,16,0,"x,y, x","h,m, h"
0,"6A,6BA",CH,4,16,0,"x,y, x","h,m, h"
0,"6A,6BaB",NH,8,16,0,"x,y, y","h,m, m"
0,"6A,6BaB",CH,4,16,0,"x,y, y","h,m, m"
0,"6A,6BaB",NH,8,16,0,"x,y, y","h,m, m"
0,"6A,6BaB",CH,4,16,0,"x,y, y","h,m, m"
0,"6A,6BB",NH,8,16,0,"x,y, y","h,m, m"
0,"6A,6BB",CH,4,16,0,"x,y, y","h,m, m"
0,"6A,6BB",NH,8,16,0,"x,y, y","h,m, m"
0,"6A,6BB",CH,4,16,0,"x,y, y","h,m, m"
0,"6A,3B",CH,10,16,0,"x,y","h,m"
0,"6A,3BB",CH,10,16,0,"x,y, y","h,m, m"
0,"6A,3BBH",CH,10,16,0,"x,y, y","h,m, m"
0,"6A,fc3A",CH,8,16,0,"x,x","h,h,h"
0,"6A,fc3A",CH,8,16,0,"x,x","h,h,h"
0,"6A,fc3B",CH,6,16,0,"x,y","h,m"
0,"6A,fc3B",NH,10,16,0,"x,y","h,m"
0,"6A,fc3B",CH,6,16,0,"x,y","h,m"
0,"6A,fc3BB",CH,6,16,0,"x,y","h,m,m"
0,"6A,fc3BB",NH,10,16,0,"x,y","h,m,m"
0,"6A,fc3BB",CH,6,16,0,"x,y","h,m,m"
0,"6A,fc1B",CH,10,16,0,"x,y","h,m"
0,"6A,fcA+B",CH,10,16,0,"x,y","h,m"
0,"6A,fcA+BK",CH,10,16,0,"x,y","h,m"
0,"6A,fcA+B6K",CH,10,16,0,"x,y","h,m"
0,"6A,fcA+B4K",CH,10,16,0,"x,y","h,m"
0,"6A,66A",CH,10,16,0,"x,x","h,h"
0,"6AA,A",CH,5,40,0,"x, x,x","h, h,h"
0,"6AA,A",CH,5,40,0,"x, x,x","h, h,h"
0,"6AA,AA",CH,5,40,0,"x, x,x, x","h, h,h,h"
0,"6AA,AA",CH,5,40,0,"x, x,x, x","h, h,h,h"
0,"6AA,AAA",CH,5,40,0,"x, x,x, x, x ","h, h,h,h,m"
0,"6AA,AAA",CH,5,40,0,"x, x,x, x, x ","h, h,h,h,m"
0,"6AA,AB",CH,5,40,0,"x, x,x, y","h, h,h,m"
0,"6AA,AB",CH,5,40,0,"x, x,x, y","h, h,h,m"
0,"6AA,6A",CH,5,40,0,"x, x,x","h, h,h"
0,"6AA,6A",CH,5,40,0,"x, x,x","h, h,h"
0,"6AA,6AA",CH,5,40,0,"x, x,x, x","h, h,h, h"
0,"6AA,6AA",CH,5,40,0,"x, x,x, x","h, h,h, h"
0,"6AA,3A",CH,7,40,0,"x, x,x","h, h,m"
0,"6AA,3A",CH,7,40,0,"x, x,x","h, h,m"
0,"6AA,2A",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2A",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2AK",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2AK",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2A6K",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2A6K",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2A4K",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,2A4K",CH,9,40,0,"x, x,x","h, h,sl"
0,"6AA,B",CH,9,40,0,"x, x,y","h, h,m"
0,"6AA,B",CH,9,40,0,"x, x,y","h, h,m"
0,"6AA,BA",CH,9,40,0,"x, x,y, x","h, h,m,h"
0,"6AA,BA",CH,9,40,0,"x, x,y, x","h, h,m,h"
0,"6AA,BB",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BB",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BBB",CH,9,40,0,"x, x,y, y, y","h, h,m,m,m"
0,"6AA,BBB",CH,9,40,0,"x, x,y, y, y","h, h,m,m,m"
0,"6AA,BBK",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BBK",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BB6K",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BB6K",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BB4K",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,BB4K",CH,9,40,0,"x, x,y, y","h, h,m,m"
0,"6AA,b4",CH,11,40,0,"x, x,y","h, h,m"
0,"6AA,6B",CH,1,40,0,"x, x,y","h, h,m"
0,"6AA,6B",NH,10,40,0,"x, x,y","h, h,m"
0,"6AA,6B",CH,1,40,0,"x, x,y","h, h,m"
0,"6AA,6BA",CH,1,40,0,"x, x,y, x","h, h,m, h"
0,"6AA,6BA",NH,10,40,0,"x, x,y, x","h, h,m, h"
0,"6AA,6BA",CH,1,40,0,"x, x,y, x","h, h,m, h"
0,"6AA,6BaB",CH,1,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,6BaB",NH,10,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,6BaB",CH,1,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,6BB",CH,1,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,6BB",NH,10,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,6BB",CH,1,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,3B",CH,7,40,0,"x, x,y","h, h,m"
0,"6AA,3B",CH,7,40,0,"x, x,y","h, h,m"
0,"6AA,3BB",CH,7,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,3BB",CH,7,40,0,"x, x,y, y","h, h,m, m"
0,"6AA,3BBH",CH,7,40,0,"x, x,y, y","h, h,m, m"
