,Unnamed: 0,command,state,startup,DMG,GC,direction,height
1667,1667,"sword A+B,BBK",Grd,10,0,15,"y,y, y","m,m,m"
1668,1668,"sword A+B,BB6K",Grd,10,0,15,"y,y, y","m,m,m"
1669,1669,"sword A+B,BB4K",Grd,10,0,15,"y,y, y","m,m,m"
1670,1670,"sword A+B,6B",Grd,10,0,15,"y,y","m,m"
1671,1671,"sword A+B,6BA",Grd,10,0,15,"y,y, x","m,m, h"
1672,1672,"sword A+B,6BaB",Grd,10,0,15,"y,y, y","m,m, m"
1673,1673,"sword A+B,6BB",Grd,10,0,15,"y,y, y","m,m, m"
1674,1674,"sword A+B,4A+B",Grd,6,0,15,"y,y","m,m"
1675,1675,"sword A+B,A+B+K",Grd,10,0,15,"y,y","m,m"
1676,1676,"sword A+B,fcA",Grd,10,0,15,"y,x","m,sl"
1677,1677,"sword A+B,fcAK",Grd,10,0,15,"y,x","m,sl"
1678,1678,"sword A+B,fcA6K",Grd,10,0,15,"y,x","m,sl"
1679,1679,"sword A+B,fcA4K",Grd,10,0,15,"y,x","m,sl"
1680,1680,"sword A+B,fcB",Grd,10,0,15,"y,y","m,m"
1681,1681,"sword A+B,fc1B",Grd,8,0,15,"y,y","m,m"
1682,1682,"sword A+B,wsB",Grd,10,0,15,"y,y","m,m"
1683,1683,"sword A+B,wsBB",Grd,10,0,15,"y,y, y","m,m,m"
1684,1684,"sword A+B,wrK",Grd,8,0,15,"y,y","m,l"
1685,1685,"sword A+B,BT A",Grd,10,0,15,"y,x","m,h"
1686,1686,"sword A+B,BT 2A",Grd,10,0,15,"y,x","m,sl"
1687,1687,"sword A+B,BT A+B",Grd,8,0,15,"y,y","m,m"
1688,1688,"sword A+B,A+G",Grd,6,0,15,"y,x","m,h"
1689,1689,"sword A+B,4A+G",Grd,6,0,15,"y,x","m,h"
1690,1690,"sword A+B,BT A+G",Grd,6,0,15,"y,x","m,h"
1691,1691,"sword A+B,A+G miss",Grd,6,0,15,"y,x","m,h"
1692,1692,"sword A+B,4A+G miss",Grd,6,0,15,"y,x","m,h"
1693,1693,"sword A+B,BT A+G miss",Grd,6,0,15,"y,x","m,h"
1772,1772,"axe A+B,A",Grd,10,0,25,"y,x","m,h"
1773,1773,"axe A+B,AA",Grd,10,0,25,"y,x, x","m,h,h"
1774,1774,"axe A+B,AAA",Grd,10,0,25,"y,x, x, x ","m,h,h,m"
1775,1775,"axe A+B,AB",Grd,10,0,25,"y,x, y","m,h,m"
1776,1776,"axe A+B,4A+B",Grd,10,0,25,"y,y","m,m"
1777,1777,"axe A+B,fcA+B",Grd,4,0,25,"y,y","m,m"
1778,1778,"axe A+B,fcA+BK",Grd,4,0,25,"y,y","m,m"
1779,1779,"axe A+B,fcA+B6K",Grd,4,0,25,"y,y","m,m"
1780,1780,"axe A+B,fcA+B4K",Grd,4,0,25,"y,y","m,m"
1781,1781,"axe A+B,A+G",Grd,10,0,25,"y,x","m,h"
1782,1782,"axe A+B,4A+G",Grd,10,0,25,"y,x","m,h"
1783,1783,"axe A+B,BT A+G",Grd,10,0,25,"y,x","m,h"
1784,1784,"axe A+B,A+G miss",Grd,10,0,25,"y,x","m,h"
1785,1785,"axe A+B,4A+G miss",Grd,10,0,25,"y,x","m,h"
1786,1786,"axe A+B,BT A+G miss",Grd,10,0,25,"y,x","m,h"
1865,1865,"spear A+B,A",Grd,10,0,15,"y,x","m,h"
1866,1866,"spear A+B,AA",Grd,10,0,15,"y,x, x","m,h,h"
1867,1867,"spear A+B,AAA",Grd,10,0,15,"y,x, x, x ","m,h,h,m"
1868,1868,"spear A+B,AB",Grd,10,0,15,"y,x, y","m,h,m"
1869,1869,"spear A+B,4A+B",Grd,10,0,15,"y,y","m,m"
1870,1870,"spear A+B,fcA+B",Grd,4,0,15,"y,y","m,m"
1871,1871,"spear A+B,fcA+BK",Grd,4,0,15,"y,y","m,m"
1872,1872,"spear A+B,fcA+B6K",Grd,4,0,15,"y,y","m,m"
1873,1873,"spear A+B,fcA+B4K",Grd,4,0,15,"y,y","m,m"
1874,1874,"spear A+B,A+G",Grd,10,0,15,"y,x","m,h"
1875,1875,"spear A+B,4A+G",Grd,10,0,15,"y,x","m,h"
1876,1876,"spear A+B,BT A+G",Grd,10,0,15,"y,x","m,h"
1877,1877,"spear A+B,A+G miss",Grd,10,0,15,"y,x","m,h"
1878,1878,"spear A+B,4A+G miss",Grd,10,0,15,"y,x","m,h"
1879,1879,"spear A+B,BT A+G miss",Grd,10,0,15,"y,x","m,h"
1958,1958,"AM A+B,A",Grd,10,0,15,"y,x","m,h"
1959,1959,"AM A+B,AA",Grd,10,0,15,"y,x, x","m,h,h"
1960,1960,"AM A+B,AAA",Grd,10,0,15,"y,x, x, x ","m,h,h,m"
1961,1961,"AM A+B,AB",Grd,10,0,15,"y,x, y","m,h,m"
1962,1962,"AM A+B,4A+B",Grd,10,0,15,"y,y","m,m"
1963,1963,"AM A+B,fcA+B",Grd,4,0,15,"y,y","m,m"
1964,1964,"AM A+B,fcA+BK",Grd,4,0,15,"y,y","m,m"
1965,1965,"AM A+B,fcA+B6K",Grd,4,0,15,"y,y","m,m"
1966,1966,"AM A+B,fcA+B4K",Grd,4,0,15,"y,y","m,m"
1967,1967,"AM A+B,A+G",Grd,10,0,15,"y,x","m,h"
1968,1968,"AM A+B,4A+G",Grd,10,0,15,"y,x","m,h"
1969,1969,"AM A+B,BT A+G",Grd,10,0,15,"y,x","m,h"
1970,1970,"AM A+B,A+G miss",Grd,10,0,15,"y,x","m,h"
1971,1971,"AM A+B,4A+G miss",Grd,10,0,15,"y,x","m,h"
1972,1972,"AM A+B,BT A+G miss",Grd,10,0,15,"y,x","m,h"
2363,2363,"214A+B,A",Grd,5,0,0,"y,x","m,h"
2364,2364,"214A+B,AA",Grd,5,0,0,"y,x, x","m,h,h"
2365,2365,"214A+B,AAA",Grd,5,0,0,"y,x, x, x ","m,h,h,m"
2366,2366,"214A+B,AB",Grd,5,0,0,"y,x, y","m,h,m"
2367,2367,"214A+B,2A",Grd,9,0,0,"y,x","m,sl"
2368,2368,"214A+B,2AK",Grd,9,0,0,"y,x","m,sl"
2369,2369,"214A+B,2A6K",Grd,9,0,0,"y,x","m,sl"
2370,2370,"214A+B,2A4K",Grd,9,0,0,"y,x","m,sl"
2371,2371,"214A+B,B",Grd,9,0,0,"y,y","m,m"
2372,2372,"214A+B,BA",Grd,9,0,0,"y,y, x","m,m,h"
2373,2373,"214A+B,BB",Grd,9,0,0,"y,y, y","m,m,m"
2374,2374,"214A+B,BBB",Grd,9,0,0,"y,y, y, y","m,m,m,m"
2375,2375,"214A+B,BBK",Grd,9,0,0,"y,y, y","m,m,m"
2376,2376,"214A+B,BB6K",Grd,9,0,0,"y,y, y","m,m,m"
2377,2377,"214A+B,BB4K",Grd,9,0,0,"y,y, y","m,m,m"
2378,2378,"214A+B,b4",Grd,11,0,0,"y,y","m,m"
2379,2379,"214A+B,6B",Grd,9,0,0,"y,y","m,m"
2380,2380,"214A+B,6BA",Grd,9,0,0,"y,y, x","m,m, h"
2381,2381,"214A+B,6BaB",Grd,9,0,0,"y,y, y","m,m, m"
2382,2382,"214A+B,6BB",Grd,9,0,0,"y,y, y","m,m, m"
2383,2383,"214A+B,2B",Grd,11,0,0,"y,y","m,m"
2384,2384,"214A+B,2BB",Grd,11,0,0,"y,y, y","m,m,m"
2385,2385,"214A+B,2BBK",Grd,11,0,0,"y,y, y","m,m, m"
2386,2386,"214A+B,2BB6K",Grd,11,0,0,"y,y, y","m,m, m"
2387,2387,"214A+B,2BB4K",Grd,11,0,0,"y,y, y","m,m, m"
2388,2388,"214A+B,4A+B",Grd,5,0,0,"y,y","m,m"
2389,2389,"214A+B,A+B+K",Grd,9,0,0,"y,y","m,m"
2390,2390,"214A+B,fcA",Grd,9,0,0,"y,x","m,sl"
2391,2391,"214A+B,fcAK",Grd,9,0,0,"y,x","m,sl"
2392,2392,"214A+B,fcA6K",Grd,9,0,0,"y,x","m,sl"
2393,2393,"214A+B,fcA4K",Grd,9,0,0,"y,x","m,sl"
2394,2394,"214A+B,fc1A",Grd,11,0,0,"y,x","m,l"
2395,2395,"214A+B,fcB",Grd,9,0,0,"y,y","m,m"
2396,2396,"214A+B,fc3B",Grd,11,0,0,"y,y","m,m"
2397,2397,"214A+B,fc3BB",Grd,11,0,0,"y,y","m,m,m"
2398,2398,"214A+B,fc1B",Grd,7,0,0,"y,y","m,m"
2399,2399,"214A+B,wsB",Grd,9,0,0,"y,y","m,m"
2400,2400,"214A+B,wsBB",Grd,9,0,0,"y,y, y","m,m,m"
2401,2401,"214A+B,wrK",Grd,7,0,0,"y,y","m,l"
2402,2402,"214A+B,BT A",Grd,9,0,0,"y,x","m,h"
2403,2403,"214A+B,BT 2A",Grd,9,0,0,"y,x","m,sl"
2404,2404,"214A+B,BT B",Grd,11,0,0,"y,y","m,m"
2405,2405,"214A+B,BT 2B",Grd,11,0,0,"y,y","m,m"
2406,2406,"214A+B,BT A+B",Grd,7,0,0,"y,y","m,m"
2407,2407,"214A+B,A+G",Grd,5,0,0,"y,x","m,h"
2408,2408,"214A+B,4A+G",Grd,5,0,0,"y,x","m,h"
2409,2409,"214A+B,BT A+G",Grd,5,0,0,"y,x","m,h"
2410,2410,"214A+B,A+G miss",Grd,5,0,0,"y,x","m,h"
2411,2411,"214A+B,4A+G miss",Grd,5,0,0,"y,x","m,h"
2412,2412,"214A+B,BT A+G miss",Grd,5,0,0,"y,x","m,h"
4166,4166,"22BK,A",Grd,8,0,9,"y, y,x","m,h"
4167,4167,"22BK,AA",Grd,8,0,9,"y, y,x,x","m,h, h"
4168,4168,"22BK,AAK",Grd,8,0,9,"y, y,x,x","m,h, h"
4169,4169,"22BK,AA6K",Grd,8,0,9,"y, y,x,x","m,h, h"
4170,4170,"22BK,AA4K",Grd,8,0,9,"y, y,x,x","m,h,h"
4171,4171,"22BK,AAA",Grd,8,0,9,"y, y,x, x, x ","m,h,h,h"
4172,4172,"22BK,AAB",Grd,8,0,9,"y, y,x, x, y","m,h,h,m"
4173,4173,"22BK,AB",Grd,8,0,9,"y, y,x, y","m,h,m"
4174,4174,"22BK,K",Grd,10,0,9,"y, y,x","m,h"
4575,4575,"BT A+B,fcA+B",Grd,6,0,9,"y,y","m,m"
4576,4576,"BT A+B,fcA+BK",Grd,6,0,9,"y,y","m,m"
4577,4577,"BT A+B,fcA+B6K",Grd,6,0,9,"y,y","m,m"
4578,4578,"BT A+B,fcA+B4K",Grd,6,0,9,"y,y","m,m"
5322,5322,"B,A",Grd,10,0,15,"y,x","m,h"
5323,5323,"B,AA",Grd,10,0,15,"y,x, x","m,h,h"
5324,5324,"B,AAA",Grd,10,0,15,"y,x, x, x ","m,h,h,m"
5325,5325,"B,AB",Grd,10,0,15,"y,x, y","m,h,m"
5326,5326,"B,6A",Grd,10,0,15,"y,x","m,h"
5327,5327,"B,6AA",Grd,10,0,15,"y,x, x","m,h, h"
5328,5328,"B,6B",Grd,6,0,15,"y,y","m,m"
5329,5329,"B,6BA",Grd,6,0,15,"y,y, x","m,m, h"
5330,5330,"B,6BaB",Grd,6,0,15,"y,y, y","m,m, m"
5331,5331,"B,6BB",Grd,6,0,15,"y,y, y","m,m, m"
5332,5332,"B,fc3A",Grd,10,0,15,"y,x","m,h,h"
5333,5333,"B,fc3B",Grd,8,0,15,"y,y","m,m"
5334,5334,"B,fc3BB",Grd,8,0,15,"y,y","m,m,m"
5509,5509,"A+G,A",Grd,10,0,0,"x,x","h,h"
5510,5510,"A+G,AA",Grd,10,0,0,"x,x, x","h,h,h"
5511,5511,"A+G,AAA",Grd,10,0,0,"x,x, x, x ","h,h,h,m"
5512,5512,"A+G,AB",Grd,10,0,0,"x,x, y","h,h,m"
5649,5649,"4A+G,A",Grd,10,0,0,"x,x","h,h"
5650,5650,"4A+G,AA",Grd,10,0,0,"x,x, x","h,h,h"
5651,5651,"4A+G,AAA",Grd,10,0,0,"x,x, x, x ","h,h,h,m"
5652,5652,"4A+G,AB",Grd,10,0,0,"x,x, y","h,h,m"
5789,5789,"BT A+G,A",Grd,10,0,0,"x,x","h,h"
5790,5790,"BT A+G,AA",Grd,10,0,0,"x,x, x","h,h,h"
5791,5791,"BT A+G,AAA",Grd,10,0,0,"x,x, x, x ","h,h,h,m"
5792,5792,"BT A+G,AB",Grd,10,0,0,"x,x, y","h,h,m"
